レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240608OMR09,8,8,2,3.0,2.0,48.0,0,0,0.7151330606776546,0.4620880650144538,-1.4819133301215026,-0.1198925035448865,1.2693835806071236
20240608OMR10,8,9,2,2.0,1.0,48.0,0,1,0.0826689205148226,-1.8244530567764736,-0.1543365146417408,-0.8048208896085401,-0.2613541867446457
20240608OMR11,8,10,8,2.0,1.0,48.0,1,1,0.2239531155238917,-1.8211933389544297,-0.8145781753700887,-1.2390729593194694,-1.0112997936948789
20240608OMR12,8,11,2,3.0,2.0,48.0,2,0,-1.3112947132594472,-1.721550662778431,1.874175951539833,0.0877409271094056,-0.1237229648463501
20240608ASY01,20,0,8,5.0,5.0,50.0,2,0,-0.2658792231434625,0.0693100376512287,-0.086376778262977,-1.2936670843174296,1.672364688986245
20240608ASY02,20,1,8,4.0,4.0,50.0,0,1,1.36214169886611,1.327146004643376,0.6972650801893308,-0.2714544516435349,0.2752409412815775
20240608ASY03,20,2,5,4.0,4.0,50.0,2,0,-1.2299280319198085,-0.4741483297078682,0.937746629963001,-0.5664145288467216,0.7161148740394306
20240608ASY04,20,3,6,2.0,2.0,50.0,1,1,0.2547770719035298,-0.5412311697686282,-0.51900087701238,1.748824425245436,0.955236474666138
20240608ASY05,20,4,6,4.0,4.0,50.0,2,0,-0.6276350325977297,-0.0057845908103568,-0.1498829823076912,1.551849189180455,-0.1630820182633575
20240608ASY06,20,5,6,3.0,3.0,50.0,2,0,-0.9266689433565284,0.2904055926807857,0.4248160295528184,-0.3854619448072974,0.3631205586088273
20240608ASY07,20,6,8,5.0,5.0,50.0,2,1,0.273533514025538,-1.9284379585633704,-0.0151988429189795,-0.4145516370244438,0.4665694748158535
20240608ASY08,20,7,8,5.0,5.0,50.0,2,1,-1.158429444324698,-0.130158504937095,-1.1051181208949918,-1.0426158814468194,1.6449901243968932
20240608ASY09,20,8,8,5.0,5.0,50.0,0,0,0.940682060203887,-1.58897478801422,0.3467333313308404,-0.5757989134113745,-1.3187609467915744
20240608ASY10,20,9,8,5.0,5.0,50.0,1,1,0.215637784417104,0.8365358082960109,-0.3258469642238964,0.2118095261094858,-0.3191061914625926
20240608ASY11,20,10,8,4.0,4.0,50.0,2,0,-1.2654762992836903,-1.5521512781573934,-1.332808322971805,1.3478546698032736,0.6542666451519956
20240608ASY12,20,11,8,5.0,5.0,50.0,1,0,-0.1194654059681638,0.5147368636894636,-0.9585458101075623,1.05241727230799,1.2677313820927625
20240608KJM01,5,0,4,2.0,3.0,43.0,2,0,0.0408923936077218,-0.1739373650080293,-1.3001558450729536,-0.6904644279730259,-1.4199045856176626
20240608KJM02,5,1,4,2.0,3.0,43.0,2,0,0.2248010656684771,-0.8511601050034588,0.3491567987477667,-1.396089791593167,-0.3291067136976533
20240608KJM03,5,2,4,2.0,3.0,43.0,1,0,1.283755745643082,0.4634477324330339,-0.7294763481593279,-1.0662371302248117,1.15888133662636
20240608KJM04,5,3,4,2.0,3.0,43.0,0,1,0.6326519232933572,0.6903182290927512,-0.1878191146361782,0.6155578752862317,1.588213312078604
20240608KJM05,5,4,4,1.0,1.0,43.0,0,0,-0.1837423569873052,-1.151996988901088,-1.156263288742775,1.6352024533542482,-1.9467710378948944
20240608KJM06,5,5,3,1.0,1.0,43.0,2,0,-1.6791625940728714,-1.5034430408763997,-0.5567070813420482,0.0918441875572599,0.6338656910463925
20240608KJM07,5,6,3,1.0,1.0,43.0,0,1,0.329730889843822,0.7709324085627801,-0.4668905664601885,-0.4116218495721117,1.2715439687081855
20240608KJM08,5,7,3,2.0,3.0,43.0,1,0,0.9566671480110835,0.0932450604584948,-0.536338816552182,0.9479753627381312,-0.5942283606769253
20240608KJM09,5,8,3,3.0,3.0,43.0,1,1,0.6973708935225813,1.546450092977112,-0.3239168553819151,0.7635057361802797,-0.7411662123033509
20240608KJM10,5,9,0,1.0,1.0,43.0,2,1,-1.7063627075610484,-1.0488251634701395,1.5055204880808843,0.5168233631063657,0.9205101496312932
20240608KJM11,5,10,3,1.0,1.0,43.0,1,1,1.1041910163511717,0.9967657002470136,0.0813509345754077,-1.149997882276893,0.4023313355893568
20240608KJM12,5,11,4,1.0,1.0,43.0,1,1,0.006898684822115,-0.3323701158633542,0.821799871820238,-1.4379179998001494,1.1104686646213593
