レース場,レース回,風向,風速,波の高さ,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア
8,0,0,3.0,2.0,2,1.0,0.2463955921996865,0.40504604320164,0.1369833640144589,-0.9958886038725834
8,1,1,3.0,2.0,2,0.0,1.0051156876542082,0.0389559946771397,-0.1257247441254511,0.4218291285304441
8,2,0,1.0,1.0,2,0.0,0.3034989908065676,0.4555539577076411,-0.9432769563233347,-0.5471887259225529
8,3,7,0.0,1.0,1,1.0,0.8825390042687524,1.0097172715987024,-0.5151455637304717,-0.8012523117090231
8,4,4,1.0,1.0,0,1.0,1.452733574470333,1.5011557965927478,-0.1118740138172665,-0.1268716895642452
8,5,4,2.0,1.0,2,0.0,-1.0676644997345874,-1.544099874766619,-1.2724416871954254,0.2665282300065487
8,6,6,1.0,1.0,2,1.0,0.5544926485486548,-0.5925077161330203,1.471250550026795,0.6277184716917794
8,7,4,2.0,1.0,1,0.0,-0.3063700101156879,0.4694504957495949,-1.5094344862671474,1.5121784961554412
8,8,7,0.0,1.0,2,1.0,-0.0593646840108662,0.9135608194135793,-1.2989979622199952,0.3043829100044381
8,9,4,1.0,1.0,2,0.0,-0.9327927558758944,0.1211981911604365,-0.9567666570559248,-0.3347705568090137
8,10,6,1.0,1.0,1,0.0,0.5032335791271851,-0.6152407063585463,1.1961633967565106,1.3057642071864204
8,11,4,1.0,1.0,0,0.0,0.9461763553869336,-0.4675715972392295,0.8780224734748264,0.373856397833416
20,0,6,3.0,3.0,2,1.0,-0.1454624913006428,0.2148341834853041,1.3499435053091104,-0.1012221914447191
20,1,1,2.0,2.0,2,0.0,-0.2199800723445832,-0.2919052251191677,0.5050334595750814,-0.0717248052775036
20,2,1,2.0,2.0,0,1.0,0.9991931636822068,0.9080062411010406,0.7820071695929405,-0.026038925866217
20,3,1,3.0,3.0,2,0.0,0.1037658364353688,-0.0620378967627179,0.4153005060739444,-0.3948047125171842
20,4,1,3.0,3.0,2,0.0,-0.5554208016387921,-1.213115838795087,0.9336320583825812,-0.203594274409297
20,5,0,2.0,2.0,2,0.0,-0.130852287093529,0.0963273892177603,-0.2056496681605887,-1.2164066333511625
20,6,1,3.0,3.0,2,1.0,1.122019567064246,0.685863615743538,-0.109353466742661,1.5984995768625303
20,7,1,3.0,3.0,1,1.0,0.7308201328650858,0.5366146830972763,0.572514241212371,0.248952827145519
20,8,1,3.0,3.0,2,1.0,-0.7688850761396353,-0.302939601542747,1.4279971295241387,0.0005476705860319
20,9,1,2.0,2.0,2,0.0,-1.8734099026365996,-1.888005751224683,-0.543168243286437,0.8243974487309237
20,10,0,2.0,2.0,2,0.0,-0.6938118639372725,-0.2032958084705032,0.3587045975504801,-1.3297630726682217
20,11,0,1.0,1.0,1,0.0,-1.1799574621337914,-1.5103408230704387,0.3063450814910915,1.7218797342871843
21,0,0,1.0,1.0,2,1.0,-0.7377996388316892,-0.919850873604552,-0.4148116620234781,-0.837929647882738
21,1,1,2.0,2.0,0,1.0,1.815271944073243,1.4465157946916478,1.606592541730241,1.370004689454543
21,2,1,1.0,1.0,2,0.0,-0.875186944372277,-0.0806704313746425,1.5078665070982693,0.5159666938296875
21,3,1,1.0,1.0,1,1.0,-0.2199451241399393,0.1148674869612395,-1.2468805165911343,0.4157769919381581
21,4,1,1.0,1.0,2,1.0,-0.3820110900430901,0.1611220687512185,-0.2989871051834805,-1.400147336895439
21,5,1,3.0,3.0,1,0.0,-0.275385637373536,0.1356888717869998,-0.7516846903095702,-0.5527699184397987
21,6,1,2.0,2.0,1,0.0,0.9032085771986752,0.6579499209543745,0.8683906675341785,-1.6096491817378975
21,7,1,3.0,3.0,0,1.0,0.8188389798468055,0.6569937314007434,0.2382432158159856,0.4485257121606337
21,8,1,1.0,1.0,2,1.0,-1.0677113757187688,-1.6807011347406084,-0.9489227305424852,-0.1031058400882215
21,9,7,0.0,1.0,2,0.0,-0.659047584697009,-1.1345533585664174,0.6821595640148103,-1.8519755005593304
21,10,1,2.0,2.0,2,0.0,-1.1133675642527612,-1.2690171880526118,0.0565918391434189,-0.6811555230685612
21,11,1,1.0,1.0,2,0.0,-1.0621051377032282,-0.0367528940131273,1.599808605982195,-1.2412139826197202
2,0,1,2.0,2.0,2,1.0,-0.602381662899701,-0.307556448050259,1.0812608614215409,-0.937335481339591
2,1,1,3.0,3.0,2,1.0,0.4764348441420607,0.695256968372717,0.329243602964759,-0.5906843435731693
2,2,0,2.0,2.0,2,0.0,-0.5431220196417746,0.0941801575122939,1.876181427419484,-1.57541826886268
2,3,0,1.0,1.0,2,1.0,0.6738587757443647,0.6902482268671699,1.2195178381936955,0.338884725483184
2,4,0,1.0,1.0,2,1.0,-0.8291464410145174,-0.8740358524707271,0.3584349334805712,-0.7180288805753791
2,5,0,2.0,2.0,2,0.0,0.2275525866398861,0.2911683588496933,1.2807435175661313,0.7587210560580051
2,6,0,3.0,3.0,2,0.0,-0.4259643247252325,-0.9572956894635218,0.2777832602656544,0.5932607371175435
2,7,0,2.0,2.0,2,0.0,-0.4885772212674978,-0.1862412365901976,-0.3590333716635504,1.1540382216585636
2,8,0,2.0,2.0,0,1.0,0.664767987772262,0.3857553248280322,0.035233342357856,-0.558772875249429
2,9,0,3.0,3.0,2,0.0,-0.2684474938223517,0.2356263470216852,-0.8826983839413566,-0.99738498763642
2,10,0,3.0,3.0,1,1.0,0.143964763510225,-0.2978708173958659,0.4201437482823976,0.1550196024716378
2,11,0,3.0,3.0,2,0.0,-0.865817086272239,-0.9268834973096992,0.8540234278915471,0.9812856746912456
13,0,1,1.0,1.0,2,1.0,0.10670539154654,0.5200517586339767,0.2189384937784836,1.4764892313918483
13,1,1,1.0,1.0,2,0.0,-0.243997187729644,-0.3859985725897166,-0.381866829144268,0.373808996387792
13,2,6,1.0,1.0,2,1.0,-0.2157886206948513,0.1014213566763424,-0.1310795257313211,0.1715441937128142
13,3,0,1.0,1.0,2,1.0,0.1174746781503226,-0.0337426011641919,-1.3615369534236013,0.6151917147697548
13,4,0,2.0,2.0,2,0.0,-0.0349113433857751,-0.1203341449752346,-0.2526377843771008,0.2133492015173214
13,5,8,2.0,2.0,2,0.0,-0.4739551973581503,-1.444840727116141,-0.1028853655226373,0.8179181309007786
13,6,2,3.0,3.0,2,1.0,-0.2513408063597522,0.2220000057621855,-1.6273040623100088,-0.6482312699256052
13,7,2,2.0,2.0,2,0.0,-1.5512375687671014,-1.5815939381591342,0.93524112754457,-1.1288785099491383
13,8,2,2.0,2.0,2,0.0,-0.328499794778365,-0.2761778606936061,-0.4328442545067347,-0.4889260488274972
13,9,8,1.0,1.0,0,1.0,1.0809373305734389,1.0753509320398893,0.0135260977187158,-0.1889371943852291
13,10,5,1.0,1.0,0,1.0,-0.1427692939275414,0.08711881165574,-0.2842854983516622,-0.7667452599104927
13,11,5,1.0,1.0,0,0.0,0.4379782005358311,0.7282372647849416,-1.4712950530430482,0.6706025307914978
9,0,6,1.0,1.0,2,1.0,-0.8797263710518224,-0.1484539238050412,-0.421048131840973,0.5911856365505054
9,1,6,3.0,3.0,2,0.0,-0.4864457141263578,-0.1693829700601896,-0.0762156996263532,-0.495432001432406
9,2,6,4.0,4.0,1,1.0,0.1576696360826124,0.4239942067235799,0.3744925674168286,1.5844763124042875
9,3,6,5.0,5.0,2,0.0,-1.1274517823636254,-0.4919867765047291,-0.6330839571655624,-0.8145132905062504
9,4,6,5.0,5.0,0,1.0,1.4862132801559484,1.318812452068629,-0.7261238053777394,-1.1121102641564673
9,5,6,6.0,6.0,2,0.0,-0.0396991378812285,0.039351344592203,-0.6279067883953335,-0.2484022972350682
9,6,6,5.0,5.0,1,1.0,0.9241660056055232,1.041774198245214,-0.5661339789605476,1.4792010980231454
9,7,6,3.0,3.0,0,0.0,1.0241436155598398,1.278878340311118,0.4936823395029835,-0.7547611154336832
9,8,6,4.0,4.0,2,1.0,0.3592233112600218,0.0829616808747703,0.6194946636986811,1.4308972946105054
9,9,6,2.0,2.0,2,1.0,-0.3320591168599697,-0.5770556908411771,-0.6670362772376922,-1.4538045691503652
9,10,6,1.0,1.0,2,0.0,-0.5885340974162294,-1.5290069677196154,-0.8763979359800244,1.2248405458514828
9,11,6,3.0,3.0,2,0.0,-1.921274221028838,-1.709459361582054,1.059951527480838,-0.6666284931918047
5,0,1,1.0,1.0,2,1.0,-1.4524975708168275,0.1740636115832119,-1.5217627987505764,0.253333927875186
5,1,1,1.0,1.0,2,0.0,-0.8284864862275733,-0.9888396538934332,1.0582701334823037,0.3555206512244795
5,2,1,1.0,1.0,2,1.0,0.5574210225906681,0.4345892052520182,-0.9287273976516572,-0.2390291394346021
5,3,2,5.0,3.0,2,0.0,-1.729509818745259,-1.6043012657952056,-1.8769332847551632,1.2724750370557238
5,4,1,3.0,3.0,2,0.0,-1.0398996311845945,-1.2440537046685436,-0.2261103159535924,0.1184768340057093
5,5,1,4.0,3.0,1,0.0,0.205876987573067,-0.1803279327527978,0.3381003565602916,0.5327901084373389
5,6,0,5.0,5.0,2,0.0,-1.247221110397287,-0.7400771211835279,-0.7806123843285351,1.3497201225597169
5,7,2,3.0,3.0,2,0.0,-1.254456482206109,-1.158267126868845,0.4750433739040592,0.2625928670705783
5,8,0,6.0,5.0,2,0.0,-1.555497294470231,-1.7182856436900742,-0.0352476352011506,1.3431380089797944
5,9,1,4.0,3.0,1,0.0,0.5483165354393391,-0.0101219137486296,0.1343049048720854,-1.5064502555550807
5,10,1,6.0,5.0,1,0.0,-1.1400171003847597,-0.8442531112252045,-1.049958765392419,1.0655643151421486
5,11,1,5.0,5.0,0,0.0,0.0146686157662422,-0.0748417015616175,0.7933941373959095,0.1019715573782708
3,0,2,5.0,5.0,1,1.0,0.5416347712264948,0.6921008668739074,1.336902320618025,1.1070749979021852
3,1,1,4.0,4.0,2,0.0,-0.5114068509249143,-0.8435302730045255,-0.3651968610892127,-0.8614986058892845
3,2,1,3.0,3.0,2,1.0,-0.4002167894603726,-0.1088635411200653,0.0372753229176706,0.5100567968020729
3,3,1,3.0,3.0,1,0.0,0.1988514755802929,0.719158355514646,-0.1225772992694085,0.1060464840982663
3,4,0,4.0,4.0,1,0.0,0.5351903534594246,0.8282203276542719,-0.9680568693809212,1.0051977809045198
3,5,0,4.0,4.0,0,1.0,0.7503360232727944,1.189049849217183,-0.7733531515147857,-0.5040258514841631
3,6,0,5.0,5.0,0,1.0,1.4715070965900088,1.4003220546588295,-1.1288832470189665,-1.9274020093635165
3,7,1,3.0,3.0,2,0.0,0.1787344055543746,0.2694015481488518,1.2189693416455352,1.3461719690749918
3,8,1,3.0,3.0,2,0.0,-1.6957398123087633,-1.5878041508169205,0.0747978144438024,0.3632016088691285
