モデル,Accuracy,AUC,Precision,Recall,F1 Score
LogisticRegression,0.7998088867654085,0.6724689038795434,0.8097826086956522,0.9796772265391512,0.886664863402759
RandomForest,0.7993311036789298,0.658346141804002,0.8156171284634761,0.9677226539151226,0.8851831601968289
GradientBoosting,0.7983755375059723,0.6693600034155922,0.8132198297446169,0.9707112970711297,0.8850136239782016
SVM,0.7993311036789298,0.613672330857029,0.7993311036789298,1.0,0.8884758364312267
LightGBM,0.7945532728141423,0.6543036461446503,0.8192090395480226,0.9533771667662881,0.8812154696132597
