レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240627OMR04,3.1,13.1,6.3,11.2,21.3,10.2,15.7,20.3,31.5,13.5,40.2,14.3,17.3,39.2,66.2,18.1,46.2,135.0,31.5,37.5
20240627OMR05,2.8,6.7,4.1,12.4,36.4,25.6,52.0,42.3,55.2,69.1,21.7,8.0,30.5,18.3,35.2,27.2,75.0,128.1,93.7,92.1
20240627OMR06,8.5,5.3,5.4,9.6,28.6,36.6,50.8,25.0,38.6,48.8,12.9,12.2,37.0,5.6,18.4,21.2,16.0,80.7,112.5,36.6
20240627OMR07,4.7,16.4,43.9,44.9,2.5,6.3,10.9,29.5,46.7,101.6,15.2,42.6,35.3,128.8,128.8,222.9,12.1,15.7,56.2,131.7
20240627OMR08,13.5,6.0,16.2,32.1,4.5,13.4,23.1,4.6,10.0,18.2,30.3,109.7,128.0,29.6,50.4,97.4,18.0,23.0,66.5,14.6
20240627OMR09,4.9,13.5,16.8,4.9,13.4,14.9,3.9,36.2,14.5,11.5,98.0,69.1,18.4,127.2,41.6,36.8,145.1,46.8,38.7,34.3
20240627OMR10,3.1,7.1,10.2,33.2,3.9,4.8,22.2,12.6,29.2,27.7,75.0,90.7,169.7,78.0,123.9,223.0,54.5,162.6,141.9,114.8
20240627OMR11,4.4,11.1,4.3,51.3,8.8,2.9,36.0,8.4,61.6,15.0,93.7,74.0,260.3,88.9,242.4,171.4,58.5,281.2,80.8,88.9
20240627OMR12,5.6,2.8,8.6,18.5,5.0,15.2,35.4,6.9,13.0,39.1,75.3,117.4,139.0,85.2,75.9,215.2,129.1,114.4,170.5,72.9
20240628KRY01,5.4,9.0,5.1,22.6,59.9,16.7,52.2,50.1,119.8,37.8,34.0,2.6,19.2,24.4,66.0,13.4,84.0,137.7,37.8,89.9
20240628KRY02,6.1,4.5,33.1,9.4,28.8,72.8,51.0,127.5,44.3,124.4,4.6,31.2,9.6,24.8,4.4,31.6,98.1,40.4,82.2,92.7
20240628KRY03,1.7,8.1,29.2,27.4,9.6,31.4,39.7,108.9,86.5,154.1,4.8,24.4,16.3,82.0,54.4,119.2,70.2,66.5,128.9,157.9
20240628KRY04,4.2,17.6,117.3,7.9,23.8,172.8,13.7,229.1,41.9,209.6,7.8,86.4,2.3,179.1,9.8,92.0,240.3,19.7,134.9,185.9
20240628KRY05,30.3,1.6,13.3,68.5,26.9,81.1,175.3,6.3,28.1,194.8,27.4,90.4,171.9,5.2,17.3,194.8,91.3,121.7,381.2,27.1
20240628KRY06,3.2,7.3,5.7,82.1,5.9,4.4,64.1,9.4,104.6,73.9,30.6,28.5,151.6,38.0,141.8,283.6,34.7,204.5,159.9,86.2
20240628KRY07,2.7,32.5,9.4,7.1,23.3,5.3,4.3,69.4,46.0,20.1,64.9,42.1,29.0,181.5,120.2,76.6,138.9,138.9,60.9,98.8
20240628KRY08,9.3,13.5,5.3,131.0,13.3,2.4,113.2,2.7,103.0,44.0,83.3,88.1,305.7,95.5,208.4,436.7,75.8,235.1,436.7,176.3
20240628KRY09,14.2,3.6,2.4,89.1,28.0,29.3,197.0,4.8,45.1,90.6,34.1,41.4,213.5,7.4,111.3,117.8,59.9,330.6,262.7,52.8
20240628KRY10,2.4,13.2,24.5,50.5,2.7,10.2,15.7,40.8,46.8,82.2,16.5,37.8,59.3,62.7,96.6,108.7,34.0,41.5,98.1,126.8
20240628KRY11,4.6,14.2,20.3,15.0,6.0,8.6,5.3,18.8,13.3,26.1,27.1,41.6,26.5,65.6,41.8,65.6,32.9,19.1,29.7,36.7
20240628KRY12,2.5,4.7,10.2,12.3,18.3,25.2,29.9,36.4,34.2,61.2,11.2,26.0,18.7,30.2,17.7,55.4,70.7,61.4,103.2,43.7
20240628TDA01,2.8,18.9,5.1,9.0,25.2,10.4,19.6,37.0,54.2,26.1,33.1,11.3,12.4,40.4,40.7,23.2,65.3,90.7,53.5,64.4
20240628TDA02,4.9,2.3,13.5,10.6,10.9,30.1,30.6,18.7,13.8,71.1,19.8,39.0,30.6,29.8,24.7,93.6,96.1,80.8,169.4,48.0
20240628TDA03,8.7,12.0,4.1,14.2,22.4,20.5,27.7,35.4,67.6,40.0,22.9,9.0,20.9,6.5,22.5,6.9,44.3,66.4,56.3,35.7
20240628TDA04,7.1,10.8,2.6,83.7,19.9,8.2,139.5,8.5,167.4,41.5,29.7,9.5,152.2,7.8,143.5,29.5,23.6,209.2,91.3,56.4
20240628TDA05,13.4,9.0,24.9,61.5,4.5,9.4,27.0,5.0,16.1,30.5,20.5,25.3,59.2,22.5,51.7,62.3,10.1,22.7,23.8,14.1
20240628TDA06,20.0,9.2,25.0,16.6,46.9,57.6,70.6,40.1,17.7,58.8,10.7,13.2,16.0,5.0,4.9,9.2,31.3,31.1,50.0,10.2
20240628TDA07,12.8,35.1,45.8,44.8,3.0,5.2,3.1,15.5,13.3,14.9,107.3,104.5,135.9,169.9,119.9,140.6,45.8,37.4,50.3,41.2
